rThreatIG1_log,sThreat3_log,contact_quality_gmc,identification_sol_gmc,symbolic_gmc,generalized_gmc,identification_selfinvestment_gmc,contact_friendsz_gmc,identification_sat_gmc,sThreat3_gmc,Identification5_gmc,DisgustS4_gmc,Identification1_gmc_x_Identification8_gmc,sThreat2_gmc_x_sThreat4_gmc,Identification2_gmc_x_rThreatOG2_gmc,DisgustS2_gmc_x_symbolic_gmc,Identification2_gmc_x_identification_sol_gmc,DisgustR1_log,DisgustP5_gmc,Identification3_gmc_x_symbolic_gmc,Identification8_gmc_x_ContactQ2_gmc,sThreat1_gmc_x_Identification2_gmc,ContactQ1_gmc_x_identification_sol_gmc,generalized_challdiff_gmc
-0.65227123,0.007738929999999977,-0.57523948,-0.06227453000000005,-0.14230355000000006,-0.16236906000000004,-0.18344159000000004,-0.40658278000000003,-0.24403955000000005,-0.25188876000000004,-0.26673003000000006,-0.31668620000000003,-0.28621002000000006,-0.28667262000000004,-0.28873339000000003,-0.30989749000000005,-0.29134103000000006,-0.30787660000000006,-0.30782872000000006,-0.29260343000000005,-0.30703487000000007,-0.29319932000000004,-0.30603972000000007,-0.29413138000000005
-0.6022712299999999,0.05773893000000002,-0.52523948,-0.012274530000000006,-0.09230355000000001,-0.11236905999999999,-0.13344159,-0.35658278,-0.19403955,-0.20188876,-0.21673003,-0.2666862,-0.23621002,-0.23667262,-0.23873339,-0.25989749,-0.24134103,-0.2578766,-0.25782872,-0.24260343,-0.25703487,-0.24319932,-0.25603972,-0.24413138
-0.55227123,0.10773893000000001,-0.47523948,0.03772546999999998,-0.04230355000000002,-0.062369060000000004,-0.08344159000000001,-0.30658278,-0.14403955000000002,-0.15188876,-0.16673003,-0.21668620000000002,-0.18621002,-0.18667262,-0.18873339,-0.20989749000000002,-0.19134103000000002,-0.20787660000000002,-0.20782872000000002,-0.19260343000000002,-0.20703487,-0.19319932,-0.20603972,-0.19413138000000002
-0.5022712300000001,0.15773893,-0.42523948,0.08772546999999997,0.007696449999999966,-0.012369060000000015,-0.03344159000000002,-0.25658278,-0.09403955000000003,-0.10188876000000002,-0.11673003000000001,-0.16668620000000003,-0.13621002000000001,-0.13667262000000002,-0.13873339,-0.15989749000000003,-0.14134103000000003,-0.15787660000000003,-0.15782872000000003,-0.14260343000000003,-0.15703487000000002,-0.14319932000000002,-0.15603972000000002,-0.14413138000000003
-0.45227123,0.20773893000000002,-0.37523947999999996,0.13772547,0.05769644999999998,0.03763094,0.016558409999999996,-0.20658278000000002,-0.044039550000000004,-0.051888760000000006,-0.06673003,-0.1166862,-0.08621002,-0.08667262,-0.08873339000000001,-0.10989749,-0.09134103,-0.1078766,-0.10782872,-0.09260343,-0.10703487,-0.09319932,-0.10603972,-0.09413138
-0.40227123,0.25773893000000003,-0.32523947999999997,0.18772547,0.10769644999999999,0.08763094,0.06655841,-0.15658278,0.005960449999999999,-0.0018887600000000032,-0.01673003,-0.0666862,-0.03621002,-0.03667262,-0.038733390000000006,-0.059897490000000005,-0.04134103,-0.0578766,-0.05782872,-0.042603430000000005,-0.05703487,-0.04319932,-0.05603972,-0.044131380000000005
-0.35227123,0.30773893,-0.27523948,0.23772547,0.15769645,0.13763094,0.11655841,-0.10658278,0.05596045,0.04811124,0.03326997,-0.0166862,0.01378998,0.01332738,0.01126661,-0.00989749,0.00865897,-0.0078766,-0.00782872,0.00739657,-0.00703487,0.00680068,-0.00603972,0.00586862
-0.30227123,0.35773893,-0.22523948,0.28772547,0.20769644999999998,0.18763094000000002,0.16655841,-0.05658278,0.10596045000000001,0.09811124,0.08326997,0.033313800000000005,0.06378998,0.06332738,0.06126661,0.04010251,0.058658970000000005,0.042123400000000005,0.042171280000000005,0.05739657,0.042965130000000004,0.056800680000000006,0.043960280000000004,0.05586862
-0.25227122999999996,0.40773893000000005,-0.17523947999999998,0.33772546999999997,0.25769644999999997,0.23763094,0.21655841,-0.006582779999999996,0.15596045,0.14811124,0.13326997000000002,0.08331380000000001,0.11378998000000001,0.11332738,0.11126661,0.09010251000000001,0.10865897000000001,0.09212340000000001,0.09217128000000001,0.10739657000000001,0.09296513,0.10680068000000001,0.09396028000000001,0.10586862000000001
-0.20227122999999997,0.45773893000000004,-0.12523947999999996,0.38772547,0.30769645,0.28763094,0.26655841,0.04341722000000002,0.20596045000000002,0.19811124000000002,0.18326997000000003,0.1333138,0.16378998000000003,0.16332738000000002,0.16126661000000003,0.14010251,0.15865897,0.1421234,0.14217128,0.15739657,0.14296513000000002,0.15680068000000003,0.14396028000000002,0.15586862
